user_id,session_start_dttm,desktop_flag,session_duration_min,purchase_flag,purchase_amount_rub,rfm_category,registered_dttm,male_flag,moscow_flag,age
84389,2023-06-01 00:19:32,0,6,0,0,,2023-06-01 00:19:32,0,1,26
62271,2023-06-01 01:11:58,1,7,0,0,,2023-06-01 01:11:58,1,1,24
80400,2023-06-01 01:41:45,0,5,0,0,,2023-06-01 01:41:45,1,0,34
65463,2023-06-01 04:49:01,1,5,0,0,,2023-06-01 04:49:01,1,0,26
36219,2023-06-01 06:27:00,1,6,0,0,,2023-06-01 06:27:00,0,0,29
64454,2023-06-01 06:58:36,0,7,1,216,,2023-06-01 06:58:36,1,0,23
59790,2023-06-01 08:58:52,1,8,0,0,,2023-06-01 08:58:52,1,0,31
72393,2023-06-01 10:43:30,0,5,0,0,,2023-05-31 07:41:03,1,1,30
42241,2023-06-01 12:00:49,0,5,1,339,,2023-06-01 12:00:49,0,0,39
45400,2023-06-01 12:12:47,0,5,1,356,,2023-06-01 12:12:47,1,1,39
56999,2023-06-01 12:14:14,0,8,0,0,,2023-06-01 12:14:14,1,1,31
99993,2023-06-01 12:53:15,0,12,0,0,,2023-06-01 12:53:15,1,1,35
54001,2023-06-01 13:13:49,0,8,1,461,,2023-06-01 13:13:49,1,0,19
40484,2023-06-01 13:35:50,0,11,1,343,,2023-06-01 13:35:50,1,0,26
78676,2023-06-01 13:50:26,1,5,0,0,,2023-06-01 13:50:26,1,1,24
82824,2023-06-01 13:51:55,0,7,1,388,,2023-06-01 13:51:55,1,0,21
99993,2023-06-01 14:41:49,0,8,0,0,,2023-06-01 12:53:15,1,1,35
85653,2023-06-01 14:50:51,1,4,0,0,,2023-06-01 14:50:51,1,1,31
15906,2023-06-01 15:23:44,1,5,1,520,,2023-05-31 23:45:38,0,0,28
61861,2023-06-01 16:20:35,1,9,0,0,,2023-06-01 16:20:35,1,1,29
98932,2023-06-01 19:08:22,0,4,0,0,,2023-06-01 19:08:22,0,0,42
69911,2023-06-01 20:12:40,0,3,0,0,,2023-06-01 20:12:40,1,0,33
77968,2023-06-01 20:15:08,0,9,1,247,,2023-05-30 10:02:29,1,0,27
65308,2023-06-01 21:14:22,0,5,0,0,,2023-06-01 21:14:22,1,0,43
50848,2023-06-01 21:50:16,0,1,0,0,,2023-05-30 18:25:48,1,1,34
81599,2023-06-02 01:02:05,0,3,0,0,,2023-06-02 01:02:05,0,0,44
74070,2023-06-02 01:46:32,0,4,1,486,,2023-06-02 01:46:32,0,0,34
28008,2023-06-02 03:36:35,1,7,0,0,,2023-06-02 03:36:35,0,0,28
65463,2023-06-02 04:10:35,1,10,0,0,,2023-06-01 04:49:01,1,0,26
79850,2023-06-02 05:53:26,0,2,0,0,,2023-06-02 05:53:26,0,0,30
56111,2023-06-02 06:53:01,1,6,0,0,,2023-06-02 06:53:01,1,1,28
18015,2023-06-02 08:27:09,0,6,0,0,,2023-06-02 08:27:09,1,1,27
4433,2023-06-02 08:51:53,0,5,1,479,,2023-06-02 08:51:53,0,0,26
40484,2023-06-02 08:54:36,0,4,1,388,,2023-06-01 13:35:50,1,0,26
8135,2023-06-02 09:44:09,0,3,1,528,,2023-06-02 09:44:09,1,0,34
18015,2023-06-02 11:31:11,0,3,1,350,,2023-06-02 08:27:09,1,1,27
24258,2023-06-02 11:55:20,1,6,1,263,,2023-06-02 11:55:20,1,1,33
47427,2023-06-02 12:04:35,0,9,0,0,,2023-06-02 12:04:35,0,1,28
74077,2023-06-02 12:31:13,0,6,1,457,,2023-06-02 12:31:13,1,1,36
39527,2023-06-02 12:36:17,1,5,0,0,,2023-06-02 12:36:17,1,1,23
45165,2023-06-02 14:57:13,0,5,1,430,,2023-05-30 03:30:09,1,0,26
96123,2023-06-02 15:06:22,0,3,0,0,,2023-06-02 15:06:22,1,0,25
90381,2023-06-02 15:26:36,0,7,0,0,,2023-06-02 15:26:36,0,0,28
40484,2023-06-02 15:37:07,0,7,0,0,,2023-06-01 13:35:50,1,0,26
43207,2023-06-02 16:20:30,0,5,0,0,,2023-06-02 16:20:30,1,0,34
68395,2023-06-02 16:56:19,0,13,0,0,,2023-06-02 16:56:19,0,0,31
71900,2023-06-02 17:32:51,0,7,0,0,,2023-06-02 17:32:51,0,0,27
78676,2023-06-02 17:45:17,1,12,1,249,,2023-06-01 13:50:26,1,1,24
36481,2023-06-02 18:47:55,1,10,0,0,,2023-06-02 18:47:55,0,0,29
58194,2023-06-02 18:51:58,0,12,1,547,,2023-06-02 18:51:58,1,0,30
45831,2023-06-02 19:49:30,0,6,0,0,,2023-06-02 19:49:30,1,0,27
46448,2023-06-02 20:02:55,0,8,0,0,,2023-06-02 20:02:55,1,0,24
65463,2023-06-02 20:15:54,0,2,1,347,,2023-06-01 04:49:01,1,0,26
42241,2023-06-02 21:00:00,0,6,0,0,,2023-06-01 12:00:49,0,0,39
26339,2023-06-02 21:17:23,1,9,0,0,,2023-05-30 16:07:09,1,0,24
38963,2023-06-02 22:03:23,0,8,0,0,,2023-06-02 22:03:23,1,1,30
24654,2023-06-02 22:46:22,0,4,1,528,,2023-06-02 22:46:22,1,0,26
32225,2023-06-02 22:51:40,0,5,1,439,,2023-06-02 22:51:40,0,1,34
45831,2023-06-02 23:17:37,0,5,1,374,,2023-06-02 19:49:30,1,0,27
71101,2023-06-02 23:35:10,0,6,0,0,,2023-06-02 23:35:10,0,0,24
70622,2023-06-02 23:41:31,1,3,0,0,,2023-06-02 23:41:31,0,0,32
94074,2023-06-03 01:04:49,1,3,1,493,,2023-06-03 01:04:49,0,0,29
25568,2023-06-03 02:38:00,0,5,1,259,,2023-06-03 02:38:00,1,0,27
12529,2023-06-03 03:11:05,0,4,0,0,,2023-06-03 03:11:05,0,1,35
36481,2023-06-03 04:41:28,1,7,0,0,,2023-06-02 18:47:55,0,0,29
84389,2023-06-03 05:10:45,1,6,1,327,,2023-06-01 00:19:32,0,1,26
10910,2023-06-03 05:33:08,1,9,0,0,,2023-05-30 17:59:52,1,0,28
11996,2023-06-03 08:22:27,0,5,0,0,,2023-06-03 08:22:27,1,0,29
92418,2023-06-03 10:00:29,1,4,0,0,,2023-06-03 10:00:29,0,0,25
60071,2023-06-03 10:47:15,0,9,0,0,,2023-06-03 10:47:15,1,0,22
95700,2023-06-03 10:51:12,0,9,1,383,,2023-06-03 10:51:12,0,0,23
45400,2023-06-03 11:12:09,0,4,0,0,,2023-06-01 12:12:47,1,1,39
25568,2023-06-03 12:24:02,0,7,0,0,,2023-06-03 02:38:00,1,0,27
56060,2023-06-03 12:47:35,0,5,0,0,,2023-05-30 21:48:29,1,0,22
72642,2023-06-03 12:58:46,1,5,0,0,,2023-06-03 12:58:46,0,0,32
35569,2023-06-03 13:02:06,0,2,0,0,,2023-06-03 13:02:06,0,0,30
32194,2023-06-03 13:05:20,1,3,1,525,,2023-06-03 13:05:20,0,0,29
91260,2023-06-03 13:15:47,0,7,1,413,,2023-06-03 13:15:47,0,0,27
68886,2023-06-03 13:17:06,0,6,1,384,,2023-06-03 13:17:06,1,1,21
44210,2023-06-03 13:32:21,0,5,1,361,,2023-05-30 15:33:03,0,1,26
67754,2023-06-03 13:42:03,1,6,1,292,,2023-06-03 13:42:03,0,0,29
67661,2023-06-03 15:41:23,1,4,0,0,,2023-06-03 15:41:23,1,1,36
90965,2023-06-03 15:55:40,0,6,0,0,,2023-06-03 15:55:40,1,0,24
24258,2023-06-03 16:58:10,0,8,0,0,,2023-06-02 11:55:20,1,1,33
5740,2023-06-03 17:01:39,0,6,0,0,,2023-06-03 17:01:39,1,0,25
81599,2023-06-03 17:02:19,0,5,0,0,,2023-06-02 01:02:05,0,0,44
98975,2023-06-03 17:21:44,0,6,0,0,,2023-05-31 11:51:54,0,0,24
72642,2023-06-03 17:32:34,1,12,0,0,,2023-06-03 12:58:46,0,0,32
43207,2023-06-03 18:40:17,1,9,0,0,,2023-06-02 16:20:30,1,0,34
17844,2023-06-03 18:50:49,0,4,0,0,,2023-06-03 18:50:49,1,0,28
91260,2023-06-03 19:01:44,0,3,0,0,,2023-06-03 13:15:47,0,0,27
73515,2023-06-03 21:47:26,1,1,1,309,,2023-06-03 21:47:26,1,1,25
39527,2023-06-03 21:49:11,0,6,0,0,,2023-06-02 12:36:17,1,1,23
95412,2023-06-03 22:57:32,0,11,0,0,,2023-06-03 22:57:32,1,1,33
35569,2023-06-04 00:33:21,0,7,0,0,,2023-06-03 13:02:06,0,0,30
23683,2023-06-04 00:44:44,1,4,0,0,,2023-06-04 00:44:44,1,0,27
65463,2023-06-04 02:06:30,0,5,1,317,,2023-06-01 04:49:01,1,0,26
3828,2023-06-04 02:19:13,1,7,0,0,,2023-06-04 02:19:13,0,1,30
20045,2023-06-04 02:44:29,0,6,0,0,,2023-06-04 02:44:29,1,1,26
68505,2023-06-04 03:14:05,1,4,1,473,,2023-06-04 03:14:05,1,0,35
52703,2023-06-04 03:35:17,0,7,0,0,,2023-06-04 03:35:17,1,0,41
95231,2023-06-04 03:58:36,1,6,1,311,,2023-06-04 03:58:36,1,0,28
12529,2023-06-04 03:58:53,0,3,1,538,,2023-06-03 03:11:05,0,1,35
38409,2023-06-04 04:51:02,0,3,0,0,,2023-06-04 04:51:02,1,1,38
87977,2023-06-04 05:11:34,1,6,1,681,,2023-05-30 17:47:43,0,0,18
87977,2023-06-04 06:23:11,0,5,1,421,,2023-05-30 17:47:43,0,0,18
38895,2023-06-04 08:34:35,0,5,0,0,,2023-06-04 08:34:35,1,1,31
36219,2023-06-04 09:02:36,1,5,0,0,,2023-06-01 06:27:00,0,0,29
98932,2023-06-04 09:31:23,1,4,1,480,,2023-06-01 19:08:22,0,0,42
84003,2023-06-04 09:35:05,0,7,0,0,,2023-06-04 09:35:05,1,1,32
40669,2023-06-04 10:13:17,0,9,0,0,,2023-05-31 02:34:00,1,0,36
11996,2023-06-04 10:47:54,1,8,0,0,,2023-06-03 08:22:27,1,0,29
94074,2023-06-04 11:19:03,0,5,0,0,,2023-06-03 01:04:49,0,0,29
71101,2023-06-04 11:29:07,1,6,0,0,,2023-06-02 23:35:10,0,0,24
25777,2023-06-04 11:46:02,0,3,0,0,,2023-06-04 11:46:02,1,0,32
71997,2023-06-04 11:59:01,0,5,0,0,,2023-06-04 11:59:01,1,1,30
56569,2023-06-04 12:21:04,0,5,0,0,,2023-06-04 12:21:04,0,0,24
36568,2023-06-04 13:02:18,1,4,1,294,,2023-06-04 13:02:18,0,1,23
51437,2023-06-04 13:32:09,1,7,1,442,,2023-06-04 13:32:09,0,0,35
90049,2023-06-04 14:53:16,0,7,0,0,,2023-05-31 15:11:00,1,0,36
2373,2023-06-04 15:49:41,0,8,0,0,,2023-06-04 15:49:41,1,0,25
79850,2023-06-04 16:09:45,1,5,1,607,,2023-06-02 05:53:26,0,0,30
46653,2023-06-04 16:30:10,0,5,1,297,,2023-06-04 16:30:10,1,1,22
56569,2023-06-04 16:35:09,0,5,0,0,,2023-06-04 12:21:04,0,0,24
93189,2023-06-04 16:57:39,0,11,0,0,,2023-06-04 16:57:39,1,0,35
10208,2023-06-04 17:22:39,0,5,1,691,,2023-06-04 17:22:39,0,0,42
66725,2023-06-04 18:26:00,0,8,0,0,,2023-05-31 07:14:55,0,0,32
97515,2023-06-04 19:15:04,0,8,1,433,,2023-06-04 19:15:04,0,1,23
71900,2023-06-04 19:57:20,0,5,1,839,,2023-06-02 17:32:51,0,0,27
8824,2023-06-04 20:22:08,0,5,0,0,,2023-06-04 20:22:08,1,0,25
38542,2023-06-04 20:39:16,1,6,1,403,,2023-06-04 20:39:16,1,0,29
11812,2023-06-04 21:15:30,0,4,0,0,,2023-06-04 21:15:30,1,0,31
44210,2023-06-04 21:50:11,1,8,1,892,,2023-05-30 15:33:03,0,1,26
47427,2023-06-04 21:52:10,1,4,0,0,,2023-06-02 12:04:35,0,1,28
97515,2023-06-04 22:33:32,1,10,0,0,,2023-06-04 19:15:04,0,1,23
93626,2023-06-04 22:46:01,0,1,0,0,,2023-06-04 22:46:01,1,0,28
44843,2023-06-05 01:53:05,0,7,0,0,,2023-06-05 01:53:05,0,1,31
4482,2023-06-05 02:38:13,1,6,1,778,,2023-06-05 02:38:13,0,0,31
75061,2023-06-05 02:40:27,1,6,1,299,,2023-06-05 02:40:27,1,1,26
94074,2023-06-05 04:13:25,1,7,0,0,новые,2023-06-03 01:04:49,0,0,29
20902,2023-06-05 08:19:26,0,5,0,0,,2023-06-05 08:19:26,0,1,25
77116,2023-06-05 08:39:14,1,4,0,0,,2023-06-05 08:39:14,0,0,30
66725,2023-06-05 09:45:14,0,7,0,0,новые,2023-05-31 07:14:55,0,0,32
91405,2023-06-05 10:05:40,0,3,0,0,,2023-06-05 10:05:40,1,0,28
48420,2023-06-05 10:27:12,0,7,1,836,,2023-06-05 10:27:12,0,0,31
95953,2023-06-05 11:46:50,0,5,0,0,,2023-06-05 11:46:50,1,0,21
27180,2023-06-05 12:24:11,1,5,0,0,,2023-06-05 12:24:11,1,1,25
87977,2023-06-05 12:33:18,0,5,0,0,лояльные,2023-05-30 17:47:43,0,0,18
42971,2023-06-05 12:44:31,0,9,1,403,,2023-06-05 12:44:31,0,0,42
84069,2023-06-05 12:49:42,0,12,1,424,,2023-06-05 12:49:42,0,1,28
77884,2023-06-05 12:57:10,0,12,0,0,,2023-06-05 12:57:10,1,1,41
81672,2023-06-05 13:02:06,0,5,1,729,,2023-06-05 13:02:06,0,0,25
97515,2023-06-05 13:32:42,1,4,1,633,новые,2023-06-04 19:15:04,0,1,23
29919,2023-06-05 13:44:57,1,7,0,0,,2023-06-05 13:44:57,1,0,25
56999,2023-06-05 14:06:05,1,6,1,431,новые,2023-06-01 12:14:14,1,1,31
45831,2023-06-05 14:08:31,0,6,0,0,новые,2023-06-02 19:49:30,1,0,27
48399,2023-06-05 15:18:54,0,6,0,0,,2023-06-05 15:18:54,0,1,37
17257,2023-06-05 15:19:44,0,6,1,223,,2023-06-05 15:19:44,1,0,23
96586,2023-06-05 15:49:47,0,5,0,0,,2023-06-05 15:49:47,1,1,26
55198,2023-06-05 15:54:30,1,9,0,0,,2023-06-05 15:54:30,1,1,33
62560,2023-06-05 16:52:31,1,8,1,347,,2023-06-05 16:52:31,1,1,34
54001,2023-06-05 16:59:06,0,11,0,0,новые,2023-06-01 13:13:49,1,0,19
59993,2023-06-05 17:06:51,0,7,0,0,,2023-06-05 17:06:51,1,0,33
52703,2023-06-05 17:40:29,0,5,0,0,новые,2023-06-04 03:35:17,1,0,41
95700,2023-06-05 18:27:16,1,6,0,0,новые,2023-06-03 10:51:12,0,0,23
25568,2023-06-05 18:34:02,0,4,0,0,новые,2023-06-03 02:38:00,1,0,27
77116,2023-06-05 18:48:27,0,3,0,0,,2023-06-05 08:39:14,0,0,30
14869,2023-06-05 18:57:03,0,2,1,361,,2023-06-05 18:57:03,1,0,37
77884,2023-06-05 19:44:22,0,4,0,0,,2023-06-05 12:57:10,1,1,41
64454,2023-06-05 20:52:19,0,7,0,0,новые,2023-06-01 06:58:36,1,0,23
36219,2023-06-05 21:15:35,1,8,1,644,новые,2023-06-01 06:27:00,0,0,29
82111,2023-06-05 21:28:33,0,7,0,0,,2023-06-05 21:28:33,0,0,27
36568,2023-06-05 22:02:47,1,4,0,0,новые,2023-06-04 13:02:18,0,1,23
59492,2023-06-05 22:23:03,1,4,0,0,,2023-06-05 22:23:03,1,0,24
11996,2023-06-05 22:28:25,0,5,0,0,новые,2023-06-03 08:22:27,1,0,29
36685,2023-06-05 22:35:30,1,4,1,389,,2023-06-05 22:35:30,1,0,27
70622,2023-06-05 23:34:43,1,5,0,0,новые,2023-06-02 23:41:31,0,0,32
26109,2023-06-06 00:30:49,0,6,1,366,,2023-06-06 00:30:49,0,0,31
60921,2023-06-06 01:34:32,0,5,0,0,,2023-06-06 01:34:32,1,0,31
16418,2023-06-06 02:19:48,1,5,1,585,,2023-06-06 02:19:48,0,0,31
80400,2023-06-06 04:03:08,1,5,0,0,новые,2023-06-01 01:41:45,1,0,34
68886,2023-06-06 06:16:37,0,2,1,309,новые,2023-06-03 13:17:06,1,1,21
12193,2023-06-06 06:51:18,0,10,0,0,,2023-06-06 06:51:18,0,0,24
67777,2023-06-06 08:42:06,1,8,1,588,,2023-06-06 08:42:06,0,1,18
10473,2023-06-06 09:14:03,0,8,1,324,,2023-06-06 09:14:03,1,0,32
11001,2023-06-06 10:39:58,0,3,1,373,,2023-06-06 10:39:58,1,1,27
73515,2023-06-06 11:14:42,0,7,0,0,новые,2023-06-03 21:47:26,1,1,25
80400,2023-06-06 11:16:11,0,4,1,510,новые,2023-06-01 01:41:45,1,0,34
34425,2023-06-06 11:29:25,1,5,0,0,,2023-06-06 11:29:25,1,0,35
89345,2023-06-06 11:45:32,0,8,1,268,,2023-06-06 11:45:32,1,1,23
24951,2023-06-06 11:53:15,0,7,0,0,,2023-06-06 11:53:15,0,0,34
93189,2023-06-06 12:10:57,0,6,0,0,новые,2023-06-04 16:57:39,1,0,35
64157,2023-06-06 13:25:09,1,4,0,0,,2023-06-06 13:25:09,1,0,26
60166,2023-06-06 13:39:03,0,4,1,427,,2023-06-06 13:39:03,0,1,23
79791,2023-06-06 14:26:43,0,7,1,366,,2023-06-06 14:26:43,1,0,22
25568,2023-06-06 15:02:00,1,6,0,0,новые,2023-06-03 02:38:00,1,0,27
20422,2023-06-06 16:19:31,0,10,0,0,,2023-06-06 16:19:31,1,0,32
57398,2023-06-06 16:30:30,0,11,0,0,новые,2023-05-31 15:02:13,1,1,32
99993,2023-06-06 17:02:53,0,8,1,337,новые,2023-06-01 12:53:15,1,1,35
30932,2023-06-06 17:47:37,0,5,0,0,,2023-06-06 17:47:37,1,1,28
59993,2023-06-06 17:50:37,0,4,0,0,,2023-06-05 17:06:51,1,0,33
15275,2023-06-06 18:13:19,0,7,0,0,,2023-06-06 18:13:19,1,0,38
58194,2023-06-06 18:24:44,1,6,1,365,новые,2023-06-02 18:51:58,1,0,30
16418,2023-06-06 18:27:34,0,7,1,494,,2023-06-06 02:19:48,0,0,31
17068,2023-06-06 18:27:39,0,5,1,523,,2023-06-06 18:27:39,0,0,23
45165,2023-06-06 18:36:24,0,8,0,0,новые,2023-05-30 03:30:09,1,0,26
8135,2023-06-06 18:59:42,0,9,0,0,новые,2023-06-02 09:44:09,1,0,34
57398,2023-06-06 19:13:48,0,4,0,0,новые,2023-05-31 15:02:13,1,1,32
34425,2023-06-06 19:37:10,0,2,1,355,,2023-06-06 11:29:25,1,0,35
29831,2023-06-06 20:04:46,1,5,0,0,,2023-06-06 20:04:46,1,1,24
17068,2023-06-06 20:16:11,1,7,1,673,,2023-06-06 18:27:39,0,0,23
56999,2023-06-06 20:23:03,1,5,0,0,новые,2023-06-01 12:14:14,1,1,31
36568,2023-06-06 21:01:11,0,3,1,410,новые,2023-06-04 13:02:18,0,1,23
39527,2023-06-06 21:27:15,1,3,0,0,новые,2023-06-02 12:36:17,1,1,23
74932,2023-06-06 23:01:06,0,8,1,405,,2023-06-06 23:01:06,1,0,22
29305,2023-06-06 23:28:50,0,8,0,0,новые,2023-05-30 09:26:57,1,0,31
30932,2023-06-06 23:56:52,0,6,1,277,,2023-06-06 17:47:37,1,1,28
96123,2023-06-07 00:50:12,1,3,1,329,новые,2023-06-02 15:06:22,1,0,25
67928,2023-06-07 06:09:16,0,2,0,0,,2023-06-07 06:09:16,1,0,24
72642,2023-06-07 08:14:34,0,5,1,504,новые,2023-06-03 12:58:46,0,0,32
93189,2023-06-07 09:07:02,0,9,0,0,новые,2023-06-04 16:57:39,1,0,35
17068,2023-06-07 10:38:19,0,8,1,496,,2023-06-06 18:27:39,0,0,23
75061,2023-06-07 10:46:22,0,6,0,0,,2023-06-05 02:40:27,1,1,26
97328,2023-06-07 11:07:27,1,5,0,0,,2023-06-07 11:07:27,1,1,36
24654,2023-06-07 11:39:36,0,3,0,0,новые,2023-06-02 22:46:22,1,0,26
68886,2023-06-07 12:06:51,0,6,0,0,новые,2023-06-03 13:17:06,1,1,21
74077,2023-06-07 12:35:37,0,10,0,0,новые,2023-06-02 12:31:13,1,1,36
2521,2023-06-07 13:37:56,0,4,0,0,,2023-06-07 13:37:56,1,0,23
39527,2023-06-07 13:47:13,0,9,1,285,новые,2023-06-02 12:36:17,1,1,23
12193,2023-06-07 13:55:14,0,4,0,0,,2023-06-06 06:51:18,0,0,24
3973,2023-06-07 13:58:05,0,12,0,0,,2023-06-07 13:58:05,1,0,37
3815,2023-06-07 14:09:18,0,6,0,0,,2023-06-07 14:09:18,1,0,18
66214,2023-06-07 14:43:44,0,5,1,402,,2023-06-07 14:43:44,1,1,31
56616,2023-06-07 16:15:15,1,8,0,0,,2023-06-07 16:15:15,1,0,27
65308,2023-06-07 16:22:58,0,4,0,0,новые,2023-06-01 21:14:22,1,0,43
74077,2023-06-07 16:47:10,0,7,0,0,новые,2023-06-02 12:31:13,1,1,36
16153,2023-06-07 17:14:56,0,12,1,428,,2023-06-07 17:14:56,0,1,28
39527,2023-06-07 17:17:15,0,5,1,270,новые,2023-06-02 12:36:17,1,1,23
11812,2023-06-07 17:19:13,1,7,1,323,новые,2023-06-04 21:15:30,1,0,31
29919,2023-06-07 17:20:41,0,9,0,0,,2023-06-05 13:44:57,1,0,25
15963,2023-06-07 17:34:53,0,3,0,0,,2023-06-07 17:34:53,1,0,33
15275,2023-06-07 17:50:34,0,2,0,0,,2023-06-06 18:13:19,1,0,38
75061,2023-06-07 17:58:37,0,3,1,294,,2023-06-05 02:40:27,1,1,26
54001,2023-06-07 18:04:55,0,6,1,327,новые,2023-06-01 13:13:49,1,0,19
12453,2023-06-07 18:16:42,0,9,0,0,,2023-06-07 18:16:42,1,1,31
33038,2023-06-07 18:30:52,0,5,1,737,,2023-06-07 18:30:52,0,1,23
68984,2023-06-07 18:57:08,0,9,1,320,,2023-06-07 18:57:08,1,1,25
10910,2023-06-07 19:05:07,0,6,1,547,новые,2023-05-30 17:59:52,1,0,28
67928,2023-06-07 19:57:18,0,3,1,324,,2023-06-07 06:09:16,1,0,24
85653,2023-06-07 20:04:15,0,6,1,307,новые,2023-06-01 14:50:51,1,1,31
3328,2023-06-07 20:07:56,0,5,0,0,,2023-06-07 20:07:56,0,1,25
56999,2023-06-07 21:18:44,0,5,1,568,новые,2023-06-01 12:14:14,1,1,31
57275,2023-06-07 21:18:59,0,4,0,0,,2023-06-07 21:18:59,0,1,22
36219,2023-06-07 21:22:12,0,8,0,0,новые,2023-06-01 06:27:00,0,0,29
59492,2023-06-07 21:25:51,0,5,0,0,,2023-06-05 22:23:03,1,0,24
46074,2023-06-07 21:39:53,0,7,1,368,,2023-06-07 21:39:53,1,1,30
45165,2023-06-07 21:48:44,0,3,0,0,новые,2023-05-30 03:30:09,1,0,26
18015,2023-06-07 21:52:52,0,5,0,0,новые,2023-06-02 08:27:09,1,1,27
3815,2023-06-07 21:54:05,0,4,1,506,,2023-06-07 14:09:18,1,0,18
58194,2023-06-07 22:16:12,1,9,1,300,новые,2023-06-02 18:51:58,1,0,30
15650,2023-06-07 22:27:38,0,4,0,0,,2023-06-07 22:27:38,1,1,37
33038,2023-06-07 23:10:19,1,6,0,0,,2023-06-07 18:30:52,0,1,23
95904,2023-06-07 23:24:55,0,4,0,0,новые,2023-05-30 09:47:41,1,1,25
36219,2023-06-07 23:30:41,1,6,0,0,новые,2023-06-01 06:27:00,0,0,29
18015,2023-06-07 23:48:08,0,7,1,253,новые,2023-06-02 08:27:09,1,1,27
26105,2023-06-08 00:10:18,1,5,0,0,,2023-06-08 00:10:18,0,1,36
82170,2023-06-08 00:31:58,1,3,1,788,,2023-06-08 00:31:58,0,0,20
59492,2023-06-08 01:14:38,0,5,0,0,,2023-06-05 22:23:03,1,0,24
68505,2023-06-08 03:40:51,0,4,1,366,новые,2023-06-04 03:14:05,1,0,35
17379,2023-06-08 03:42:31,0,5,1,379,,2023-06-08 03:42:31,1,1,28
59993,2023-06-08 04:18:55,0,6,0,0,,2023-06-05 17:06:51,1,0,33
91405,2023-06-08 04:27:17,1,7,1,381,,2023-06-05 10:05:40,1,0,28
54414,2023-06-08 04:48:32,0,5,1,272,,2023-06-08 04:48:32,1,1,26
26109,2023-06-08 06:04:18,0,7,1,421,,2023-06-06 00:30:49,0,0,31
29831,2023-06-08 06:20:44,0,7,0,0,,2023-06-06 20:04:46,1,1,24
97515,2023-06-08 06:30:33,1,4,0,0,новые,2023-06-04 19:15:04,0,1,23
67661,2023-06-08 10:03:14,0,5,0,0,новые,2023-06-03 15:41:23,1,1,36
77646,2023-06-08 10:08:00,0,13,0,0,,2023-06-08 10:08:00,1,0,31
